Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,NASDAQ Symbol,NextShares
Y,ALTR,Altair Engineering Inc. - Class A Common Stock,Q,Q,N,100,N,N,ALTR,N
Y,ALTY,Global X SuperDividend Alternatives ETF,Q,G,Y,100,N,N,ALTY,N
Y,ALXN,"Alexion Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100,N,N,ALXN,N
Y,ALYA,Alithya Group inc. - Class A subordinate voting shares,Q,S,N,100,N,N,ALYA,N
Y,AMAG,"AMAG Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100,N,N,AMAG,N
Y,AMAL,Amalgamated Bank - Class A Common Stock,Q,G,N,100,N,N,AMAL,N
Y,AMAT,"Applied Materials, Inc. - Common Stock",Q,Q,N,100,N,N,AMAT,N
Y,AMBA,"Ambarella, Inc. - Ordinary Shares",Q,Q,N,100,N,N,AMBA,N
Y,AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,Q,G,Y,100,N,N,AMCA,N
Y,AMCI,AMCI Acquisition Corp. - Class A Common Stock,Q,S,N,100,N,N,AMCI,N
Y,AMCIU,AMCI Acquisition Corp. - Unit,Q,S,N,100,N,N,AMCIU,N
Y,AMCX,AMC Networks Inc. - Class A Common Stock,Q,Q,N,100,N,N,AMCX,N
Y,AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,Q,N,100,N,N,AMD,N
Y,AMED,Amedisys Inc - Common Stock,Q,Q,N,100,N,N,AMED,N
Y,AMEH,"Apollo Medical Holdings, Inc. - Common Stock",Q,S,N,100,N,N,AMEH,N
Y,AMGN,Amgen Inc. - Common Stock,Q,Q,N,100,N,N,AMGN,N
Y,AMHC,Amplitude Healthcare Acquisition Corporation - Class A Common Stock,Q,S,N,100,N,N,AMHC,N
Y,AMHCU,Amplitude Healthcare Acquisition Corporation - Unit,Q,S,N,100,N,N,AMHCU,N
Y,AMKR,"Amkor Technology, Inc. - Common Stock",Q,Q,N,100,N,N,AMKR,N
Y,AMNB,"American National Bankshares, Inc. - Common Stock",Q,Q,N,100,N,N,AMNB,N
Y,AMOT,"Allied Motion Technologies, Inc. - Common Stock",Q,G,N,100,N,N,AMOT,N
Y,AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100,N,N,AMPH,N
Y,AMRB,American River Bankshares - Common Stock,Q,Q,N,100,N,N,AMRB,N
Y,AMRH,"Ameri Holdings, Inc. - Common Stock",Q,S,N,100,N,N,AMRH,N
Y,AMRK,"A-Mark Precious Metals, Inc. - Common Stock",Q,Q,N,100,N,N,AMRK,N
